Gebäudename,Maßnahme Name,Maßnahme Beschreibung,Kosten (in €),Dauer (in Monaten),CO2 Einsparung (in CO2e t),Kostenersparnis (in €) (pro Jahr),Typ,Erledigt
Philosophie und Theologie,PV-Anlage Installation,Installation einer Photovoltaik-Anlage auf dem Dach,3654864,22,"25,24","64662,87",Strom,FALSE
Philosophie und Theologie,Energetische Gebäudesanierung,"Das Dach und die Fassaden werden gedämmt, die Fenster werden ausgetauscht und die Heizungsanlage wird erneuert.",4890409,40,"470,292","186383,9",Wärme,FALSE
Philosophie und Theologie,LED-Lampen,Alle alten Lampen werden mit LED-Lampen ausgetauscht.,"108604,6792","1,5","28,8995","42537,01029",Strom,FALSE
Physik,PV-Anlage Installation,Installation einer Photovoltaik-Anlage auf dem Dach,2870416,18,"19,82","50784,2",Strom,FALSE
Physik,Energetische Gebäudesanierung,"Das Dach und die Fassaden werden gedämmt, die Fenster werden ausgetauscht und die Heizungsanlage wird erneuert.",3374202,27,"470,292","186383,9",Wärme,FALSE
Physik,LED-Lampen,Alle alten Lampen werden mit LED-Lampen ausgetauscht.,"85294,722","1,2","43,6275","64223,03006",Strom,FALSE
Recht und Wirtschaft,PV-Anlage Installation,Installation einer Photovoltaik-Anlage auf dem Dach,2251888,14,"15,55","39841,03",Strom,FALSE
Recht und Wirtschaft,Energetische Gebäudesanierung,"Das Dach und die Fassaden werden gedämmt, die Fenster werden ausgetauscht und die Heizungsanlage wird erneuert.",3243268,26,"115,662","45837,12",Wärme,FALSE
Recht und Wirtschaft,LED-Lampen,Alle alten Lampen werden mit LED-Lampen ausgetauscht.,"107064,1529","1,5","14,951125","22007,79713",Strom,FALSE
Sammelgebäude,PV-Anlage Installation,Installation einer Photovoltaik-Anlage auf dem Dach,1278128,8,"8,87","22612,99",Strom,FALSE
Sammelgebäude,Energetische Gebäudesanierung,"Das Dach und die Fassaden werden gedämmt, die Fenster werden ausgetauscht und die Heizungsanlage wird erneuert.",2442696,20,"232,56","92167,05",Wärme,FALSE
Sammelgebäude,LED-Lampen,Alle alten Lampen werden mit LED-Lampen ausgetauscht.,"60767,53889","0,8","4,32425","6366,692822",Strom,FALSE
Sportzentrum,PV-Anlage Installation,Installation einer Photovoltaik-Anlage auf dem Dach,1879248,12,"3,99","33248,12",Strom,FALSE
Sportzentrum,Energetische Gebäudesanierung,"Das Dach und die Fassaden werden gedämmt, die Fenster werden ausgetauscht und die Heizungsanlage wird erneuert.","1800726,789",19,"66,342","26291,32044",Wärme,FALSE
Sportzentrum,Solarthermie für Warmwasser,Das Schwimmbecken wird mit Solarthermie erwärmt statt mit Gas.,2302360,1,"0,697","36748,8",Wärme,FALSE
Sportzentrum,LED-Lampen,Alle alten Lampen werden mit LED-Lampen ausgetauscht.,"33505,23459","0,5","5,266625","7752,641228",Strom,FALSE
Studentenhaus,PV-Anlage Installation,Installation einer Photovoltaik-Anlage auf dem Dach,614720,4,"4,26","10875,8",Strom,FALSE
Studentenhaus,Energetische Gebäudesanierung,"Das Dach und die Fassaden werden gedämmt, die Fenster werden ausgetauscht und die Heizungsanlage wird erneuert.",1152314,9,"51,816","20535,21677",Wärme,FALSE
Studentenhaus,LED-Lampen,Alle alten Lampen werden mit LED-Lampen ausgetauscht.,"25573,05983","0,4","2,45875","3628,623465",Strom,FALSE
Verwaltungsgebäude und Ladengeschäfte,PV-Anlage Installation,Installation einer Photovoltaik-Anlage auf dem Dach,0,0,0,0,Strom,TRUE
Verwaltungsgebäude und Ladengeschäfte,Energetische Gebäudesanierung,"Das Dach und die Fassaden werden gedämmt, die Fenster werden ausgetauscht und die Heizungsanlage wird erneuert.",1199613,10,"100,086","39666,8335",Wärme,FALSE
Verwaltungsgebäude und Ladengeschäfte,Papierkonzept verbessern,Alle Prüfungen und Papierverbrauch in Büros werden digitalisiert.,0,0,"23,91",0,Waren,FALSE
Verwaltungsgebäude und Ladengeschäfte,LED-Lampen,Alle alten Lampen werden mit LED-Lampen ausgetauscht.,"19260,43541","0,3","1,442","2583,632065",Strom,FALSE
Vielberthgebäude,PV-Anlage Installation,Installation einer Photovoltaik-Anlage auf dem Dach,0,0,0,"10781,38",Strom,TRUE
Vielberthgebäude,LED-Lampen,Alle alten Lampen werden mit LED-Lampen ausgetauscht.,"13332,90755","0,2","3,91125","5756,042482",Strom,FALSE
Vorklinikum,PV-Anlage Installation,Installation einer Photovoltaik-Anlage auf dem Dach,2371568,15,"16,39","41958,43984",Strom,FALSE
Vorklinikum,LED-Lampen,Alle alten Lampen werden mit LED-Lampen ausgetauscht.,"56377,11977","0,8","31,01875","45655,62582",Strom,FALSE
Westliche Naturwissenschaften,PV-Anlage Installation,Installation einer Photovoltaik-Anlage auf dem Dach,0,0,0,0,Strom,TRUE
Zentrales Bibliotheksgebäude,PV-Anlage Installation,Installation einer Photovoltaik-Anlage auf dem Dach,2334032,14,"16,12","41294,34",Strom,FALSE
